itemID,boughtAt,convertAt,status,itemCategory,itemType,itemSubType,gender,itemCondition,itemFabrics,itemColor,size,brand,acquisitionChannel,purchasePrice,resalePrice,repairEffort,starting_index,copied,remove,positive_avg_adjuster,negative_avg_adjuster
ITEM00021,2025-06-21 09:18:33,2025-08-09 00:03:58,sold,One-Piece,Dress,Casual Dress,Unisex,7,"0,0,0,0,0,0,0,100",Blue,34,Levi's,donation,4.07,8.97,moderate,20,False,True,,-0.4
ITEM00022,2025-06-17 06:35:29,2025-09-27 22:43:18,disposed,Bottomwear,Pants,Chinos,Women,2,"0,0,0,100,0,0,0,0",Red,34,Adidas,userSellIn,14.74,0.0,moderate,21,False,False,0.1,
ITEM00023,2025-07-02 18:33:31,2025-08-08 21:15:01,disposed,Topwear,Jacket,Hoodie,Men,1,"0,0,0,0,0,100,0,0",Beige,XL,Adidas,donation,10.28,0.0,heavy,22,False,False,0.6749999999999999,-0.3
ITEM00024,2025-06-24 18:47:43,2025-08-04 05:21:52,sold,One-Piece,Dress,Casual Dress,Men,6,"0,0,100,0,0,0,0,0",Blue,S,Zara,donation,5.8,15.7,none,23,False,True,,-0.3
ITEM00025,2025-06-07 00:05:32,2025-09-16 07:17:27,sold,Bottomwear,Skirt,Mini Skirt,Unisex,5,"0,0,53,47,0,0,0,0",Red,M,Patagonia,bulkWholesale,7.65,30.19,none,24,False,False,,-0.4
ITEM00026,2025-06-16 20:40:28,2025-09-02 19:34:32,sold,Footwear,Shoes,Heels,Men,10,"0,0,0,23,0,0,0,77",Multicolor,M,Zara,donation,26.16,94.4,moderate,25,False,False,,-0.289
ITEM00027,2025-06-19 20:22:56,2025-09-24 08:04:38,sold,Bottomwear,Pants,Chinos,Kids,6,"0,58,0,0,0,0,42,0",Grey,L,Zara,bulkWholesale,20.1,70.98,heavy,26,False,False,0.2,
ITEM00028,2025-06-10 23:34:06,2025-10-01 15:16:59,sold,Bottomwear,Pants,Chinos,Unisex,6,"0,100,0,0,0,0,0,0",Beige,XS,Patagonia,donation,6.49,17.35,minor,27,False,False,,-0.4
ITEM00029,2025-06-11 12:07:07,2025-09-30 13:39:22,sold,Footwear,Shoes,Sneakers,Men,9,"0,0,0,0,100,0,0,0",Grey,36,Zara,bulkWholesale,21.26,32.58,moderate,28,False,False,,-0.13899999999999998
ITEM00030,2025-06-13 23:32:59,2025-09-20 11:09:20,sold,Footwear,Shoes,Heels,Women,3,"0,100,0,0,0,0,0,0",Black,44,Levi's,bulkWholesale,1.08,3.2,none,29,False,False,0.1,-0.017
ITEM00031,2025-06-08 18:22:35,2025-09-08 12:58:37,sold,One-Piece,Dress,Casual Dress,Women,7,"0,0,100,0,0,0,0,0",Beige,Kids,Nike,bulkWholesale,15.31,23.75,moderate,30,False,False,0.1,
ITEM00032,2025-06-22 01:00:53,2025-07-28 13:57:49,sold,Bottomwear,Skirt,Mini Skirt,Men,8,"0,0,0,29,0,0,0,71",Grey,M,Levi's,userSellIn,19.32,70.93,moderate,31,False,False,,-0.175
ITEM00033,2025-06-21 02:19:32,2025-08-10 08:16:46,sold,Bottomwear,Skirt,Maxi Skirt,Women,9,"63,0,0,37,0,0,0,0",Red,42,Uniqlo,donation,13.03,29.7,none,32,False,False,0.1,-0.1
ITEM00034,2025-06-25 15:59:16,2025-09-17 02:06:18,sold,One-Piece,Dress,Summer Dress,Unisex,6,"0,0,15,0,0,85,0,0",Red,Kids,Nike,userSellIn,15.22,23.07,minor,33,False,False,,-0.4
ITEM00035,2025-06-11 09:14:58,2025-09-16 16:38:01,sold,Bottomwear,Pants,Shorts,Women,4,"0,0,0,83,0,17,0,0",Black,XL,Levi's,userSellIn,6.65,14.81,moderate,34,False,False,0.0675,
ITEM00036,2025-06-09 22:37:04,2025-09-01 04:32:58,sold,One-Piece,Dress,Casual Dress,Kids,7,"0,0,0,29,0,71,0,0",Green,36,Levi's,userSellIn,5.21,12.07,heavy,35,False,False,0.2,
ITEM00037,2025-06-10 07:22:58,2025-07-16 12:09:53,disposed,Topwear,Shirt,Polo,Kids,0,"0,0,0,0,0,0,0,100",Grey,44,H&M,bulkWholesale,11.9,0.0,none,36,False,False,0.7,
ITEM00038,2025-06-21 21:18:20,2025-07-22 05:15:11,recycled,One-Piece,Dress,Casual Dress,Kids,1,"100,0,0,0,0,0,0,0",Green,S,H&M,userSellIn,28.28,0.0,minor,37,False,False,0.175,
ITEM00039,2025-06-25 18:16:41,2025-09-06 04:13:15,sold,Accessories,General,Scarf,Men,4,"0,0,0,70,0,30,0,0",Beige,42,Nike,userSellIn,12.48,40.93,none,38,False,False,0.035,-0.355
ITEM00040,2025-06-13 17:29:32,2025-09-06 17:35:46,sold,Accessories,General,Belt,Unisex,10,"0,0,0,0,100,0,0,0",Blue,Kids,Zara,bulkWholesale,0.59,2.26,heavy,39,False,True,,-0.4533333333333333
ITEM00041,2025-06-12 23:49:22,2025-08-21 20:21:52,sold,Footwear,Shoes,Heels,Kids,3,"0,0,0,0,100,0,0,0",Grey,M,H&M,donation,17.98,71.4,moderate,40,False,False,0.2,-0.017
ITEM00042,2025-06-14 02:41:19,2025-08-12 22:51:18,sold,One-Piece,Dress,Summer Dress,Unisex,10,"40,0,0,60,0,0,0,0",Black,XS,Adidas,donation,23.55,92.55,heavy,41,False,False,,-0.47500000000000003
ITEM00043,2025-06-09 11:47:07,2025-08-12 01:35:34,sold,Bottomwear,Skirt,Mini Skirt,Men,4,"85,0,0,0,15,0,0,0",Blue,36,H&M,bulkWholesale,7.39,11.43,moderate,42,False,True,0.035,-0.3
ITEM00044,2025-06-19 09:27:16,2025-08-21 00:36:37,sold,One-Piece,Dress,Evening Dress,Men,5,"87,0,0,0,13,0,0,0",White,XL,Levi's,bulkWholesale,7.04,25.83,minor,43,False,False,,-0.3
ITEM00045,2025-07-03 12:13:20,2025-08-05 19:37:34,sold,Accessories,General,Scarf,Women,9,"0,0,0,0,0,0,0,100",White,XL,Gucci,donation,16.72,46.75,minor,44,False,False,0.1,-0.255
ITEM00046,2025-07-04 22:29:10,2025-08-03 06:06:33,sold,Topwear,Jacket,Blazer,Men,5,"0,0,0,0,0,0,0,100",Beige,L,H&M,userSellIn,17.13,38.33,heavy,45,False,False,1.2,-0.3
ITEM00047,2025-06-07 12:44:42,2025-08-02 13:27:54,sold,Footwear,Shoes,Sneakers,Unisex,7,"0,0,0,0,0,0,0,100",Green,XL,Patagonia,bulkWholesale,29.21,112.99,none,46,False,False,,-0.20850000000000002
ITEM00048,2025-06-09 23:58:45,2025-07-15 19:33:44,sold,Topwear,Shirt,Blouse,Unisex,7,"0,0,100,0,0,0,0,0",Green,S,Levi's,bulkWholesale,29.61,69.62,none,47,False,False,1.2,-0.4
ITEM00049,2025-06-08 04:46:12,2025-09-16 07:54:35,sold,Topwear,Jacket,Winter Coat,Kids,6,"0,0,0,29,0,71,0,0",Multicolor,Kids,Nike,donation,11.29,29.35,heavy,48,False,False,0.7,
ITEM00050,2025-06-13 16:24:06,2025-08-03 11:00:05,sold,Footwear,Shoes,Heels,Men,7,"0,0,69,0,0,0,0,31",Beige,42,Uniqlo,donation,13.91,40.6,minor,49,False,False,,-0.1585
ITEM00051,2025-06-15 00:56:07,2025-08-17 06:01:41,sold,One-Piece,Dress,Summer Dress,Women,6,"0,0,0,0,0,0,43,57",Grey,XL,Levi's,bulkWholesale,28.26,67.44,moderate,50,False,False,0.1,
ITEM00052,2025-06-30 02:28:38,2025-08-27 11:55:55,recycled,Topwear,Shirt,Polo,Unisex,2,"0,0,0,0,0,100,0,0",Beige,44,Patagonia,userSellIn,21.99,0.0,moderate,51,False,False,1.2,-0.4
ITEM00053,2025-06-25 07:59:45,2025-09-12 22:14:49,sold,One-Piece,Dress,Evening Dress,Men,6,"0,0,0,0,100,0,0,0",Green,XL,H&M,userSellIn,10.37,26.44,moderate,52,False,False,,-0.3
ITEM00054,2025-06-06 18:11:28,2025-09-22 12:09:01,sold,Accessories,General,Belt,Women,10,"0,0,0,0,21,0,0,79",Beige,Kids,H&M,userSellIn,17.23,34.0,none,53,False,True,0.1,-0.48
ITEM00055,2025-06-27 15:20:37,2025-09-03 17:00:39,sold,Footwear,Shoes,Boots,Women,4,"79,0,0,0,0,0,0,21",Green,36,Patagonia,donation,0.03,0.09,minor,54,False,False,0.0675,-0.017
ITEM00056,2025-06-18 09:42:36,2025-08-27 21:18:13,sold,Footwear,Shoes,Heels,Women,10,"30,0,0,70,0,0,0,0",Red,L,H&M,bulkWholesale,6.09,14.33,moderate,55,False,True,0.1,-0.28350000000000003
ITEM00057,2025-06-12 16:36:41,2025-07-30 21:54:27,sold,Bottomwear,Skirt,Maxi Skirt,Kids,9,"43,0,0,0,0,0,57,0",White,38,H&M,bulkWholesale,3.48,6.28,none,56,False,False,0.2,-0.1
ITEM00058,2025-06-18 21:10:40,2025-09-07 08:21:21,sold,Accessories,General,Scarf,Men,4,"0,0,8,0,92,0,0,0",Black,34,Adidas,userSellIn,28.37,70.13,none,57,False,False,0.035,-0.355
ITEM00059,2025-06-28 17:21:43,2025-08-02 19:04:04,sold,Topwear,Jacket,Hoodie,Kids,8,"0,29,0,71,0,0,0,0",White,L,Uniqlo,userSellIn,14.25,45.64,none,58,False,False,0.7,-0.05
ITEM00060,2025-06-28 13:32:38,2025-09-26 01:26:13,recycled,One-Piece,Dress,Summer Dress,Kids,2,"0,0,0,52,0,0,48,0",Black,40,Adidas,userSellIn,7.84,0.0,none,59,False,False,0.2,
ITEM00061,2025-06-10 08:01:31,2025-07-16 08:38:05,recycled,One-Piece,Dress,Casual Dress,Unisex,2,"0,0,100,0,0,0,0,0",Beige,44,Nike,bulkWholesale,13.39,0.0,heavy,60,False,True,,-0.4
ITEM00062,2025-06-21 04:54:50,2025-08-12 06:59:09,sold,One-Piece,Dress,Casual Dress,Men,4,"0,100,0,0,0,0,0,0",Multicolor,S,Levi's,donation,28.64,94.29,minor,61,False,False,0.035,-0.3
ITEM00063,2025-07-04 11:32:11,2025-08-03 03:03:09,sold,Footwear,Shoes,Sneakers,Unisex,5,"0,0,0,100,0,0,0,0",Black,XL,H&M,donation,8.28,17.27,heavy,62,False,False,,-0.20850000000000002
ITEM00064,2025-06-29 20:53:57,2025-09-27 06:32:53,recycled,Bottomwear,Pants,Shorts,Unisex,2,"57,0,0,0,0,0,0,43",White,34,Levi's,bulkWholesale,12.03,0.0,minor,63,False,True,,-0.4
ITEM00065,2025-06-16 05:24:29,2025-09-01 21:40:05,sold,Footwear,Shoes,Sneakers,Kids,8,"38,0,62,0,0,0,0,0",Blue,S,Nike,bulkWholesale,15.7,51.28,heavy,64,False,False,0.2,-0.0335
ITEM00066,2025-06-27 07:04:43,2025-08-29 04:13:20,sold,One-Piece,Dress,Casual Dress,Men,10,"0,0,0,0,0,2,0,98",Beige,L,Adidas,bulkWholesale,12.07,34.8,heavy,65,False,False,,-0.42500000000000004
ITEM00067,2025-06-11 06:34:17,2025-09-11 23:12:44,sold,Bottomwear,Skirt,Mini Skirt,Men,7,"0,0,0,100,0,0,0,0",Beige,M,Patagonia,userSellIn,8.34,31.1,heavy,66,False,False,,-0.3
ITEM00068,2025-06-16 11:03:33,2025-08-05 17:45:03,sold,Accessories,General,Handbag,Unisex,9,"100,0,0,0,0,0,0,0",Beige,40,Patagonia,userSellIn,24.9,89.16,moderate,67,False,False,,-0.30333333333333334
ITEM00069,2025-06-21 12:47:57,2025-08-19 07:32:13,disposed,Topwear,Shirt,T-Shirt,Kids,2,"0,100,0,0,0,0,0,0",Beige,38,Gucci,userSellIn,19.17,0.0,heavy,68,False,False,0.7,
ITEM00070,2025-07-03 17:03:19,2025-08-01 01:59:11,sold,Accessories,General,Belt,Men,3,"0,27,0,0,0,73,0,0",Multicolor,XL,Gucci,donation,13.51,28.79,moderate,69,False,False,,-0.355
ITEM00071,2025-06-30 13:36:34,2025-07-15 23:52:52,sold,Footwear,Shoes,Sneakers,Unisex,9,"0,72,0,0,0,28,0,0",Beige,40,Patagonia,donation,13.22,52.72,none,70,False,False,,-0.17233333333333334
ITEM00072,2025-06-14 21:48:15,2025-09-16 05:12:00,recycled,Footwear,Shoes,Sneakers,Unisex,2,"0,0,100,0,0,0,0,0",Black,34,Gucci,userSellIn,24.1,0.0,heavy,71,False,False,,-0.20850000000000002
ITEM00073,2025-06-08 01:36:21,2025-08-30 13:03:02,sold,Bottomwear,Skirt,Mini Skirt,Unisex,9,"0,0,0,12,0,0,0,88",Multicolor,XL,Uniqlo,bulkWholesale,23.65,57.39,heavy,72,False,False,,-0.25
ITEM00074,2025-06-08 12:45:32,2025-08-02 03:17:58,sold,Topwear,Shirt,T-Shirt,Unisex,6,"100,0,0,0,0,0,0,0",Black,M,Gucci,userSellIn,27.34,96.67,none,73,False,True,1.2,-0.4
ITEM00075,2025-06-19 20:51:09,2025-08-30 03:54:07,sold,Accessories,General,Handbag,Women,5,"100,0,0,0,0,0,0,0",Multicolor,40,Zara,bulkWholesale,28.45,79.08,heavy,74,False,False,0.1,-0.41
ITEM00076,2025-06-26 02:08:45,2025-09-10 15:50:11,recycled,One-Piece,Dress,Summer Dress,Kids,2,"47,0,53,0,0,0,0,0",Red,Kids,Zara,donation,24.76,0.0,heavy,75,False,False,0.2,
ITEM00077,2025-06-10 10:54:18,2025-08-02 10:29:32,recycled,One-Piece,Dress,Casual Dress,Men,0,"0,0,100,0,0,0,0,0",Green,S,Gucci,donation,6.5,0.0,heavy,76,False,False,,-0.3
ITEM00078,2025-06-17 22:58:49,2025-10-02 15:16:56,sold,Bottomwear,Pants,Shorts,Unisex,5,"0,0,0,0,100,0,0,0",White,XS,Zara,donation,29.93,91.56,heavy,77,False,False,,-0.4
ITEM00079,2025-07-03 04:40:02,2025-09-28 15:05:53,disposed,Accessories,General,Scarf,Unisex,0,"0,0,0,0,100,0,0,0",Black,S,Patagonia,userSellIn,25.39,0.0,none,78,False,True,,-0.405
ITEM00080,2025-06-12 14:14:53,2025-09-10 21:28:19,sold,Topwear,Shirt,T-Shirt,Women,7,"100,0,0,0,0,0,0,0",Red,XS,Patagonia,donation,15.89,25.6,minor,79,False,False,0.65,
ITEM00081,2025-06-14 22:59:54,2025-08-31 14:44:08,sold,One-Piece,Dress,Evening Dress,Unisex,8,"0,0,0,0,0,100,0,0",Black,44,Gucci,donation,8.2,23.43,minor,80,False,False,,-0.225
ITEM00082,2025-06-24 22:59:10,2025-09-25 05:12:31,sold,Topwear,Shirt,Polo,Men,9,"0,0,0,0,69,0,31,0",Blue,XS,Adidas,bulkWholesale,21.47,78.88,minor,81,False,False,1.2,-0.2
ITEM00083,2025-06-10 20:08:01,2025-08-11 10:24:33,sold,Footwear,Shoes,Boots,Unisex,5,"0,0,0,24,0,0,0,76",White,XL,Patagonia,bulkWholesale,2.34,3.88,minor,82,False,False,,-0.20850000000000002
ITEM00084,2025-06-07 04:12:15,2025-07-21 01:42:50,recycled,One-Piece,Dress,Casual Dress,Unisex,1,"100,0,0,0,0,0,0,0",Multicolor,Kids,Nike,donation,7.4,0.0,none,83,False,True,0.15,-0.4
ITEM00085,2025-07-03 03:16:21,2025-08-25 12:32:56,sold,Footwear,Shoes,Sneakers,Unisex,4,"66,34,0,0,0,0,0,0",Red,44,Levi's,userSellIn,20.46,43.9,none,84,False,False,0.035,-0.20850000000000002
ITEM00086,2025-06-11 00:34:37,2025-08-30 23:40:32,sold,Footwear,Shoes,Boots,Men,10,"0,0,0,0,0,0,100,0",Black,S,Patagonia,userSellIn,7.52,14.79,minor,85,False,True,,-0.289
ITEM00087,2025-06-15 14:38:33,2025-09-13 21:23:54,sold,Footwear,Shoes,Sneakers,Kids,5,"0,91,0,0,0,0,0,9",White,36,Levi's,donation,19.56,52.69,moderate,86,False,False,0.2,-0.017
ITEM00088,2025-06-10 12:58:29,2025-08-06 22:14:27,sold,Topwear,Jacket,Hoodie,Unisex,5,"0,0,0,0,0,100,0,0",Multicolor,XL,H&M,donation,14.39,49.57,heavy,87,False,False,1.2,-0.4
ITEM00089,2025-06-18 07:49:52,2025-07-25 08:45:29,sold,Accessories,General,Belt,Men,8,"0,12,0,0,0,0,88,0",White,42,Adidas,userSellIn,20.12,65.71,none,88,False,False,,-0.25333333333333335
ITEM00090,2025-06-28 22:26:20,2025-09-17 18:21:22,sold,Bottomwear,Pants,Jeans,Unisex,3,"0,0,17,0,0,0,0,83",White,44,Nike,userSellIn,17.26,37.44,none,89,False,False,,-0.4
ITEM00091,2025-06-10 23:58:17,2025-08-13 22:31:14,sold,Accessories,General,Handbag,Kids,10,"0,0,0,0,100,0,0,0",Black,36,Nike,bulkWholesale,27.46,83.89,minor,90,False,False,0.2,-0.48
ITEM00092,2025-06-21 04:13:14,2025-08-29 21:21:36,recycled,Bottomwear,Skirt,Maxi Skirt,Unisex,2,"0,0,0,0,0,33,67,0",Red,M,Zara,bulkWholesale,1.33,0.0,none,91,False,False,,-0.4
ITEM00093,2025-06-06 21:20:54,2025-09-08 01:30:43,disposed,Bottomwear,Pants,Jeans,Kids,0,"56,0,0,0,44,0,0,0",Green,XL,Nike,bulkWholesale,23.1,0.0,none,92,False,False,0.2,
ITEM00094,2025-06-11 22:05:48,2025-08-11 14:49:49,sold,Topwear,Jacket,Hoodie,Women,8,"0,24,0,0,0,0,0,76",Grey,42,Zara,userSellIn,23.75,90.51,moderate,93,False,False,0.65,-0.05
ITEM00095,2025-07-01 09:14:07,2025-07-24 05:10:03,sold,Topwear,Shirt,T-Shirt,Unisex,7,"0,0,0,79,0,21,0,0",Beige,40,Uniqlo,bulkWholesale,21.25,38.84,heavy,94,False,False,1.2,-0.4
ITEM00096,2025-06-09 17:36:38,2025-08-19 18:37:12,sold,Bottomwear,Skirt,Maxi Skirt,Kids,10,"6,0,0,0,0,94,0,0",Multicolor,34,Gucci,donation,3.36,11.3,moderate,95,False,True,0.2,-0.55
ITEM00097,2025-06-20 11:46:42,2025-08-06 11:53:47,sold,Accessories,General,Handbag,Women,4,"73,0,0,0,0,0,0,27",Red,42,Uniqlo,bulkWholesale,18.8,52.35,heavy,96,False,True,0.0675,-0.41
ITEM00098,2025-06-08 12:50:05,2025-07-24 04:19:28,sold,Accessories,General,Scarf,Unisex,9,"0,0,0,92,0,0,8,0",Grey,M,Uniqlo,userSellIn,15.37,31.7,minor,97,False,False,,-0.30333333333333334
ITEM00099,2025-06-24 14:22:13,2025-09-13 08:42:37,sold,Bottomwear,Skirt,Maxi Skirt,Men,6,"0,0,0,0,96,0,0,4",Green,M,Adidas,userSellIn,1.74,4.71,heavy,98,False,False,,-0.3
ITEM00100,2025-07-02 13:25:04,2025-08-25 21:36:51,recycled,One-Piece,Dress,Evening Dress,Unisex,2,"62,0,0,0,0,0,38,0",Grey,44,Patagonia,bulkWholesale,30.0,0.0,minor,99,False,True,,-0.4
ITEM00101,2025-06-19 20:23:10,2025-09-22 03:28:05,disposed,Footwear,Shoes,Boots,Unisex,2,"0,0,0,25,0,0,0,75",Red,38,Patagonia,userSellIn,14.0,0.0,none,100,False,False,,-0.20850000000000002
ITEM00102,2025-07-01 18:10:06,2025-09-11 10:21:19,sold,Topwear,Jacket,Blazer,Men,5,"0,0,0,0,43,57,0,0",Beige,40,Uniqlo,donation,29.15,57.77,heavy,101,False,False,1.2,-0.3
ITEM00103,2025-06-15 05:01:24,2025-09-03 10:10:20,sold,Topwear,Shirt,Polo,Unisex,4,"0,0,0,58,0,0,42,0",Black,42,Patagonia,bulkWholesale,14.05,37.57,heavy,102,False,False,0.6174999999999999,-0.4
ITEM00104,2025-06-11 13:36:12,2025-08-15 17:54:45,sold,Accessories,General,Scarf,Women,6,"0,0,0,65,35,0,0,0",White,36,Levi's,donation,2.42,7.85,none,103,False,False,0.1,-0.41
ITEM00105,2025-06-17 00:41:11,2025-07-25 03:35:57,sold,Accessories,General,Handbag,Women,6,"0,0,0,0,0,81,0,19",Blue,44,Zara,bulkWholesale,23.53,58.75,moderate,104,False,True,0.1,-0.41
ITEM00106,2025-06-29 08:40:01,2025-07-29 00:25:52,sold,Bottomwear,Skirt,Mini Skirt,Men,9,"0,0,1,0,0,0,99,0",Red,XL,Zara,bulkWholesale,2.57,6.12,heavy,105,False,False,,-0.2
ITEM00107,2025-07-04 05:06:13,2025-08-21 23:13:01,sold,Footwear,Shoes,Boots,Women,6,"0,0,0,0,76,24,0,0",Green,Kids,Nike,donation,11.87,44.89,moderate,106,False,False,0.1,-0.017
ITEM00108,2025-07-04 18:06:35,2025-07-26 09:51:12,sold,Accessories,General,Scarf,Kids,6,"100,0,0,0,0,0,0,0",Green,44,Levi's,donation,15.41,32.09,minor,107,False,False,0.2,-0.41
ITEM00109,2025-06-09 16:18:13,2025-10-03 12:01:17,sold,Topwear,Jacket,Blazer,Women,6,"0,0,0,0,50,50,0,0",White,M,Uniqlo,donation,3.8,10.5,heavy,108,False,False,0.65,
ITEM00110,2025-06-18 09:39:50,2025-09-27 23:47:56,sold,Accessories,General,Belt,Kids,7,"0,0,0,0,100,0,0,0",White,M,Uniqlo,donation,6.59,14.46,minor,109,False,False,0.2,-0.41
ITEM00111,2025-06-21 16:57:19,2025-07-17 04:45:47,recycled,One-Piece,Dress,Evening Dress,Women,0,"0,0,0,6,0,94,0,0",White,40,Gucci,bulkWholesale,13.15,0.0,heavy,110,False,False,0.1,
ITEM00112,2025-06-13 16:00:54,2025-09-12 08:56:04,disposed,Topwear,Jacket,Hoodie,Unisex,1,"0,0,57,0,0,0,0,43",Red,L,Gucci,donation,15.13,0.0,minor,111,False,False,0.6749999999999999,-0.4
ITEM00113,2025-06-13 00:01:34,2025-08-04 16:51:35,sold,Accessories,General,Belt,Kids,7,"0,11,0,0,0,89,0,0",Beige,XS,Zara,userSellIn,26.43,51.47,none,112,False,False,0.2,-0.41
ITEM00114,2025-06-07 00:24:35,2025-09-30 00:32:18,sold,Bottomwear,Skirt,Maxi Skirt,Women,8,"0,0,55,0,0,45,0,0",Beige,L,Levi's,bulkWholesale,24.66,51.22,heavy,113,False,True,0.1,-0.05
ITEM00115,2025-06-29 17:13:53,2025-09-20 04:04:03,recycled,One-Piece,Dress,Evening Dress,Kids,2,"0,0,0,100,0,0,0,0",Multicolor,Kids,Gucci,userSellIn,12.87,0.0,minor,114,False,False,0.2,
ITEM00116,2025-06-27 13:02:57,2025-09-11 10:40:40,sold,Bottomwear,Pants,Shorts,Women,10,"0,0,0,0,0,21,79,0",Beige,44,Patagonia,userSellIn,10.18,19.59,heavy,115,False,False,0.1,-0.55
ITEM00117,2025-06-08 08:47:51,2025-08-29 16:49:31,disposed,Footwear,Shoes,Sneakers,Unisex,0,"20,80,0,0,0,0,0,0",Green,42,Gucci,userSellIn,17.57,0.0,minor,116,False,False,,-0.20850000000000002
